modelName,modelSeed,trainingSeed,seed,learning_rate,num_trials,num_epochs,num_timeSteps,num_batches,size_layer_message,size_layer_hidden,size_layer_phonology,input,hidden_state_init,hidden_state_curr,predictions,max_length_name
699540821,9021093912,927986397102,896575376869,0.005,20000,100,7,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
229177022,9021093912,927986397102,896575376869,0.005,20000,100,7,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
808776681,9021093912,927986397102,896575376869,0.005,20000,100,8,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
362160535,9021093912,927986397102,896575376869,0.005,20000,100,8,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
768216399,9021093912,927986397102,896575376869,0.005,20000,100,8,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
730053126,9021093912,927986397102,896575376869,0.005,20000,100,8,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
119450353,9021093912,927986397102,896575376869,0.005,20000,100,9,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
339745907,9021093912,927986397102,896575376869,0.005,20000,100,9,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
459090431,9021093912,927986397102,896575376869,0.005,20000,100,9,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
893965477,9021093912,927986397102,896575376869,0.005,20000,100,9,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
161181255,9021093912,927986397102,896575376869,0.005,20000,100,10,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
186578798,9021093912,927986397102,896575376869,0.005,20000,100,10,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
515306585,9021093912,927986397102,896575376869,0.005,20000,100,10,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
454415805,9021093912,927986397102,896575376869,0.005,20000,100,10,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
