modelName,modelSeed,trainingSeed,seed,learning_rate,num_trials,num_epochs,num_timeSteps,num_batches,size_layer_message,size_layer_hidden,size_layer_phonology,epoch,loss
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,0,0.0328765106201
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,1,0.030313346386
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,2,0.0244870281219
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,3,0.0247981905937
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,4,0.0333530664444
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,5,0.0245767188072
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,6,0.024440741539
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,7,0.03004976511
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,8,0.0305926465988
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,9,0.0301790452003
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,10,0.0247803401947
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,11,0.0301205968857
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,12,0.0373198795319
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,13,0.0246727180481
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,14,0.0246633148193
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,15,0.0368474602699
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,16,0.03712028265
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,17,0.0246837472916
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,18,0.024600725174
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,19,0.0337029743195
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,20,0.0303331542015
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,21,0.0247640752792
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,22,0.0247118282318
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,23,0.0245981144905
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,24,0.0332111525536
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,25,0.030490424633
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,26,0.0300015902519
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,27,0.0279565620422
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,28,0.0246172332764
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,29,0.0301363706589
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,30,0.0370610737801
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,31,0.0280135512352
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,32,0.0300906229019
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,33,0.0301626873016
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,34,0.0302120447159
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,35,0.0248641681671
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,36,0.0262162399292
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,37,0.0247140598297
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,38,0.0261346936226
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,39,0.0302438902855
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,40,0.0219991636276
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,41,0.0246285438538
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,42,0.0247341632843
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,43,0.0330947804451
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,44,0.0328476333618
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,45,0.0303555297852
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,46,0.0247472953796
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,47,0.030362508297
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,48,0.0261076641083
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,49,0.0245288085937
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,50,0.0302492618561
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,51,0.0303676557541
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,52,0.030239508152
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,53,0.0301852989197
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,54,0.0330276727676
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,55,0.0303151869774
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,56,0.0329856491089
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,57,0.0244111967087
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,58,0.0246065878868
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,59,0.0327869391441
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,60,0.0220028996468
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,61,0.0260307693481
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,62,0.0373512077332
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,63,0.0244966769218
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,64,0.0329348230362
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,65,0.0330992221832
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,66,0.0261230707169
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,67,0.0278392314911
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,68,0.0247873306274
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,69,0.0261541461945
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,70,0.0246354484558
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,71,0.0303291559219
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,72,0.0301693201065
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,73,0.0279649019241
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,74,0.0301910209656
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,75,0.0260813641548
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,76,0.0302559614182
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,77,0.0260323882103
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,78,0.0259520339966
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,79,0.0278628802299
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,80,0.0247072052956
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,81,0.0244782114029
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,82,0.0245508527756
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,83,0.0301796770096
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,84,0.0280091571808
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,85,0.0331562495232
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,86,0.0300650405884
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,87,0.024578139782
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,88,0.0281476974487
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,89,0.0246761798859
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,90,0.0369622755051
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,91,0.0262482976913
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,92,0.024592294693
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,93,0.0300941419601
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,94,0.0245611190796
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,95,0.0262371778488
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,96,0.0331373357773
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,97,0.0246519994736
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,98,0.0261263847351
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18,99,0.0246094608307
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,0,0.0218366956711
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,1,0.0210073542595
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,2,0.0171328020096
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,3,0.0207728695869
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,4,0.0235064339638
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,5,0.0176991903782
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,6,0.0183279514313
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,7,0.0175291311741
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,8,0.0184214067459
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,9,0.0205853652954
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,10,0.0179647254944
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,11,0.0209749746323
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,12,0.0216962051392
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,13,0.018405803442
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,14,0.018139384985
880531695,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18,15,0.0205002808571
