modelName,epoch,loss
768489071,0,0.004333246648311615
768489071,1,0.001180667206645012
768489071,2,0.0005558713153004647
768489071,3,0.0003676800802350044
768489071,4,0.00018662502989172936
768489071,5,0.00014704778790473937
768489071,6,0.00015271984040737151
768489071,7,0.00012861317954957486
768489071,8,0.00011124339886009693
768489071,9,0.00014199133962392808
768489071,10,8.421708829700947e-05
768489071,11,7.844247855246067e-05
768489071,12,8.794896304607391e-05
768489071,13,5.6381612084805964e-05
768489071,14,5.830965470522642e-05
768489071,15,5.83234429359436e-05
768489071,16,6.245225202292204e-05
768489071,17,5.739778280258179e-05
768489071,18,5.138613283634186e-05
768489071,19,3.5992059856653214e-05
768489071,20,3.7926214281469585e-05
768489071,21,4.5040245167911054e-05
768489071,22,5.625494290143252e-05
768489071,23,4.331754986196756e-05
768489071,24,4.306735005229711e-05
768489071,25,3.2433513551950456e-05
768489071,26,3.3697898034006356e-05
768489071,27,3.807278349995613e-05
768489071,28,2.491238061338663e-05
768489071,29,3.022969700396061e-05
768489071,30,2.8440421447157858e-05
768489071,31,1.8345359712839127e-05
768489071,32,2.6821785140782595e-05
768489071,33,1.9747631158679722e-05
768489071,34,1.846552826464176e-05
768489071,35,1.949146739207208e-05
768489071,36,1.808430184610188e-05
768489071,37,1.7040990060195326e-05
768489071,38,2.0907975267618896e-05
768489071,39,1.550699700601399e-05
768489071,40,3.040972864255309e-05
768489071,41,2.7923944871872662e-05
768489071,42,1.3778042048215866e-05
768489071,43,1.5136291040107608e-05
768489071,44,1.6951024299487472e-05
768489071,45,1.3349647633731366e-05
768489071,46,1.2281144736334681e-05
768489071,47,1.4790567802265286e-05
768489071,48,1.2338414089754224e-05
768489071,49,1.1861930834129453e-05
768489071,50,1.1604049941524863e-05
768489071,51,1.5385322039946914e-05
768489071,52,1.6974477330222725e-05
768489071,53,1.2757133226841688e-05
768489071,54,1.3178070075809955e-05
768489071,55,9.842665167525411e-06
768489071,56,1.2303097173571587e-05
768489071,57,9.841349674388767e-06
768489071,58,9.018454584293067e-06
768489071,59,8.374089957214891e-06
768489071,60,1.7846900736913084e-05
768489071,61,1.1531977215781807e-05
768489071,62,1.0603390401229262e-05
768489071,63,9.441658039577306e-06
768489071,64,9.55649884417653e-06
768489071,65,1.1248128721490503e-05
768489071,66,8.773753070272505e-06
768489071,67,6.446961197070777e-06
768489071,68,7.336927228607237e-06
768489071,69,8.325888775289058e-06
768489071,70,9.565513464622199e-06
768489071,71,7.770375232212245e-06
768489071,72,7.381707546301186e-06
768489071,73,8.744064252823592e-06
768489071,74,8.646136266179382e-06
768489071,75,9.004648891277611e-06
768489071,76,8.53279314469546e-06
768489071,77,6.670377333648503e-06
768489071,78,6.551730912178755e-06
768489071,79,9.471556986682116e-06
768489071,80,6.181249627843499e-06
768489071,81,8.032059413380921e-06
768489071,82,9.703359100967646e-06
768489071,83,7.184224086813629e-06
768489071,84,7.289256900548935e-06
768489071,85,7.307512569241226e-06
768489071,86,5.540889105759561e-06
768489071,87,1.0678817052394151e-05
768489071,88,8.34176957141608e-06
768489071,89,7.153546321205795e-06
768489071,90,6.742007099092007e-06
768489071,91,6.036742124706507e-06
768489071,92,5.037594819441438e-06
768489071,93,6.1224790988489985e-06
768489071,94,8.193966932594776e-06
768489071,95,0.00012495634146034718
768489071,96,4.551642632577568e-06
768489071,97,6.390053313225508e-06
768489071,98,4.92527091410011e-06
768489071,99,4.730843647848814e-06
